Date, Workout Type, Calories, Time, Distance, Pace, Heart Rate, Elevation
12/30/25,Traditional Strength Training,"16" kcal, 4min,"0" mi,"0s","78 bpm","0 m"
12/30/25,Traditional Strength Training,"109" kcal, 27min,"0" mi,"0s","83 bpm","0 m"
12/31/25,Traditional Strength Training,"19" kcal, 4min,"0" mi,"0s","76 bpm","0 m"
12/31/25,Traditional Strength Training,"115" kcal, 28min,"0" mi,"0s","78 bpm","0 m"
1/2/26,Traditional Strength Training,"121" kcal, 29min,"0" mi,"0s","84 bpm","0 m"
1/3/26,Traditional Strength Training,"39" kcal, 9min,"0" mi,"0s","82 bpm","0 m"
1/6/26,Traditional Strength Training,"0" kcal, 1hr 44min,"0" mi,"0s","84 bpm","0 m"
1/7/26,Traditional Strength Training,"6" kcal, 1min,"0" mi,"0s","101 bpm","0 m"
1/7/26,Traditional Strength Training,"135" kcal, 33min,"0" mi,"0s","96 bpm","0 m"
1/8/26,Traditional Strength Training,"21" kcal, 5min,"0" mi,"0s","93 bpm","0 m"
1/8/26,Traditional Strength Training,"128" kcal, 31min,"0" mi,"0s","90 bpm","0 m"
1/9/26,Traditional Strength Training,"20" kcal, 5min,"0" mi,"0s","104 bpm","0 m"
1/10/26,Traditional Strength Training,"36" kcal, 9min,"0" mi,"0s","95 bpm","0 m"
1/12/26,Traditional Strength Training,"58" kcal, 14min,"0" mi,"0s","99 bpm","0 m"
1/13/26,Traditional Strength Training,"14" kcal, 3min,"0" mi,"0s","78 bpm","0 m"
1/15/26,Traditional Strength Training,"105" kcal, 45min,"0" mi,"0s","87 bpm","0 m"
1/16/26,Traditional Strength Training,"61" kcal, 15min,"0" mi,"0s","106 bpm","0 m"
1/16/26,Traditional Strength Training,"160" kcal, 30min,"0" mi,"0s","98 bpm","0 m"
1/18/26,Traditional Strength Training,"17" kcal, 4min,"0" mi,"0s","85 bpm","0 m"
1/20/26,Traditional Strength Training,"150" kcal, 36min,"0" mi,"0s","90 bpm","0 m"
1/21/26,Traditional Strength Training,"21" kcal, 5min,"0" mi,"0s","0 bpm","0 m"
1/22/26,Traditional Strength Training,"37" kcal, 9min,"0" mi,"0s","101 bpm","0 m"
1/26/26,Traditional Strength Training,"95" kcal, 30min,"0" mi,"0s","78 bpm","0 m"
1/27/26,Traditional Strength Training,"97" kcal, 24min,"0" mi,"0s","93 bpm","0 m"
